Method,MSE,source_size,target_size
XGBoost_Target_Only,0.3119333182483933,100,50
KRR_Target_Only,0.3450788924718749,100,50
NN_Target_Only,0.3617212676953057,100,50
XGBoost_Oracle,0.2968219698046759,100,50
KRR_Oracle,0.2904979603436534,100,50
NN_Oracle,0.2890631299558999,100,50
XGBoost_TLCQM,0.3153405627306207,100,50
KRR_TLCQM,0.3383677274885282,100,50
NN_TLCQM,0.3137343153774873,100,50
XGBoost_Target_Only,0.3082408542895287,200,50
KRR_Target_Only,0.3389989305158978,200,50
NN_Target_Only,0.3590477090316762,200,50
XGBoost_Oracle,0.2942761742637057,200,50
KRR_Oracle,0.2934984558786728,200,50
NN_Oracle,0.2903540572795762,200,50
XGBoost_TLCQM,0.3123543959753634,200,50
KRR_TLCQM,0.3259305458411076,200,50
NN_TLCQM,0.3092887596920673,200,50
XGBoost_Target_Only,0.3084466618054,500,50
KRR_Target_Only,0.3442366274652442,500,50
NN_Target_Only,0.359036332777946,500,50
XGBoost_Oracle,0.2864819642843685,500,50
KRR_Oracle,0.2817661599688672,500,50
NN_Oracle,0.2693407290468942,500,50
XGBoost_TLCQM,0.3081035153089846,500,50
KRR_TLCQM,0.3261786035300214,500,50
NN_TLCQM,0.3059402254265342,500,50
XGBoost_Target_Only,0.3045350560956357,1000,50
KRR_Target_Only,0.3383495464556686,1000,50
NN_Target_Only,0.352829793725215,1000,50
XGBoost_Oracle,0.2730529679203581,1000,50
KRR_Oracle,0.268373045617554,1000,50
NN_Oracle,0.2540267770998726,1000,50
XGBoost_TLCQM,0.3045999296834258,1000,50
KRR_TLCQM,0.3225489861959569,1000,50
NN_TLCQM,0.3066574775558824,1000,50
XGBoost_Target_Only,0.3044891576774928,2000,50
KRR_Target_Only,0.3355490699980852,2000,50
NN_Target_Only,0.3573589486572532,2000,50
XGBoost_Oracle,0.2697340473553445,2000,50
KRR_Oracle,0.2649609582952494,2000,50
NN_Oracle,0.254559881739193,2000,50
XGBoost_TLCQM,0.3039662147737724,2000,50
KRR_TLCQM,0.3061655595256247,2000,50
NN_TLCQM,0.3079285164884475,2000,50
XGBoost_Target_Only,0.3110186565899647,5000,50
KRR_Target_Only,0.340317615152379,5000,50
NN_Target_Only,0.354888919999926,5000,50
XGBoost_Oracle,0.2645316473881032,5000,50
KRR_Oracle,0.2618627900960247,5000,50
NN_Oracle,0.2564718385425186,5000,50
XGBoost_TLCQM,0.3110325476647858,5000,50
KRR_TLCQM,0.3062666408164051,5000,50
NN_TLCQM,0.3152768399625093,5000,50
XGBoost_Target_Only,0.3195350540347,100,100
KRR_Target_Only,0.3292752570313748,100,100
NN_Target_Only,0.4047887528185621,100,100
XGBoost_Oracle,0.3026040121516186,100,100
KRR_Oracle,0.3088442881546617,100,100
NN_Oracle,0.3097450886335781,100,100
XGBoost_TLCQM,0.3134137571219358,100,100
KRR_TLCQM,0.3325555703015834,100,100
NN_TLCQM,0.317875912246249,100,100
XGBoost_Target_Only,0.3124262557527757,200,100
